"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","3.8145","3.8310","3.8520","3.7995","3.71K","-0.34%"
"12/29/2022","3.8275","3.8400","3.8555","3.8150","3.88K","-0.48%"
"12/28/2022","3.8460","3.8595","3.8595","3.8320","0.03K","0.08%"
"12/27/2022","3.8430","3.8565","3.8565","3.8440","0.01K","-0.38%"
"12/26/2022","3.8575","3.8125","3.8675","3.8125","","1.22%"
"12/23/2022","3.8110","3.8005","3.8140","3.7705","0.02K","1.36%"
"12/22/2022","3.7600","3.8145","3.8145","3.7575","0.03K","-1.38%"
"12/21/2022","3.8125","3.8085","3.8200","3.8085","0.03K","0.25%"
"12/20/2022","3.8030","3.7295","3.8090","3.7295","0.19K","0.42%"
"12/19/2022","3.7870","3.7880","3.7885","3.7875","0.00K","0.54%"
"12/16/2022","3.7665","3.7835","3.7840","3.7645","0.02K","-0.04%"
"12/15/2022","3.7680","3.7685","3.7695","3.7685","0.23K","-2.90%"
"12/14/2022","3.8805","3.8485","3.8885","3.8485","0.10K","0.92%"
"12/13/2022","3.8450","3.8930","3.8930","3.8450","0.17K","1.06%"
"12/12/2022","3.8045","3.8100","3.8100","3.8040","0.03K","-1.96%"
"12/09/2022","3.8805","3.8610","3.8820","3.8610","0.01K","-0.10%"
"12/08/2022","3.8845","3.9055","3.9055","3.8830","0.08K","0.56%"
"12/07/2022","3.8630","3.8225","3.8635","3.8225","0.01K","1.10%"
"12/06/2022","3.8210","3.8470","3.8470","3.8205","0.07K","0.62%"
"12/05/2022","3.7975","3.8190","3.8190","3.7825","0.03K","-1.38%"
"12/02/2022","3.8505","3.8520","3.8520","3.8500","0.03K","0.84%"
"12/01/2022","3.8185","3.8045","3.8200","3.7995","0.04K","2.15%"
"11/30/2022","3.7380","3.7195","3.7380","3.7195","0.06K","2.69%"
"11/29/2022","3.6400","3.6530","3.6555","3.6400","0.07K","0.68%"
"11/28/2022","3.6155","3.6000","3.6260","3.5470","54.91K","-0.41%"
"11/25/2022","3.6305","3.6435","3.6935","3.6140","38.70K","-0.25%"
"11/24/2022","3.6395","3.6472","3.6710","3.6240","","0.58%"
"11/23/2022","3.6185","3.6230","3.6585","3.5965","31.10K","0.11%"
"11/22/2022","3.6145","3.5835","3.6695","3.5820","35.61K","1.08%"
"11/21/2022","3.5760","3.6500","3.6550","3.5560","32.41K","-1.80%"
"11/18/2022","3.6415","3.6920","3.7150","3.6370","28.32K","-1.42%"
"11/17/2022","3.6940","3.7570","3.7765","3.6730","24.88K","-2.11%"
"11/16/2022","3.7735","3.8110","3.8210","3.7495","27.93K","-1.20%"
"11/15/2022","3.8195","3.8325","3.8820","3.7945","39.81K","-0.21%"
"11/14/2022","3.8275","3.9225","3.9470","3.8055","38.11K","-1.88%"
"11/11/2022","3.9010","3.7650","3.9320","3.7535","47.70K","4.04%"
"11/10/2022","3.7495","3.6680","3.7795","3.6225","36.79K","1.58%"
"11/09/2022","3.6910","3.6605","3.7330","3.6215","42.77K","0.41%"
"11/08/2022","3.6760","3.5975","3.6910","3.5625","38.61K","2.10%"
"11/07/2022","3.6005","3.6350","3.6500","3.5740","32.98K","-1.99%"
"11/04/2022","3.6735","3.4135","3.6950","3.4090","45.21K","7.52%"
"11/03/2022","3.4165","3.4230","3.4505","3.3675","29.77K","-1.10%"
"11/02/2022","3.4545","3.4480","3.5015","3.4200","20.27K","-0.07%"
"11/01/2022","3.4570","3.3620","3.4835","3.3610","14.76K","2.96%"
"10/31/2022","3.3575","3.4090","3.4280","3.3480","15.27K","-1.64%"
"10/28/2022","3.4135","3.5125","3.5125","3.4030","15.71K","-2.79%"
"10/27/2022","3.5115","3.5130","3.5130","3.5110","0.44K","-0.64%"
"10/26/2022","3.5340","3.5335","3.5390","3.5255","0.09K","4.20%"
"10/25/2022","3.3915","3.3970","3.3970","3.3915","0.12K","-0.93%"
"10/24/2022","3.4235","3.4225","3.4275","3.4220","0.11K","-1.18%"
"10/21/2022","3.4645","3.4405","3.4645","3.4405","0.13K","1.67%"
"10/20/2022","3.4075","3.4085","3.4085","3.4070","0.16K","2.64%"
"10/19/2022","3.3200","3.3195","3.3195","3.3195","0.08K","-1.16%"
"10/18/2022","3.3590","3.3660","3.3660","3.3570","0.03K","-1.51%"
"10/17/2022","3.4105","3.4385","3.4385","3.4105","0.04K","-0.18%"
"10/14/2022","3.4165","3.4425","3.4425","3.4105","0.08K","-0.50%"
"10/13/2022","3.4335","3.3780","3.4355","3.3780","0.02K","0.44%"
"10/12/2022","3.4185","3.4190","3.4195","3.4190","0.01K","-1.07%"
"10/11/2022","3.4555","3.4210","3.4560","3.4210","0.00K","0.96%"
"10/10/2022","3.4225","3.4225","3.4230","3.4205","0.02K","1.30%"
"10/07/2022","3.3785","3.3770","3.3790","3.3770","0.01K","-1.73%"
"10/06/2022","3.4380","3.4415","3.4425","3.4380","0.07K","-1.55%"
"10/05/2022","3.4920","3.4925","3.5360","3.4910","0.06K","0.33%"
"10/04/2022","3.4805","3.4830","3.4830","3.4825","0.06K","2.35%"
"10/03/2022","3.4005","3.4010","3.4035","3.4010","0.02K","-0.06%"
"09/30/2022","3.4025","3.3935","3.3950","3.3935","0.08K","-0.32%"
"09/29/2022","3.4135","3.4005","3.4240","3.3945","0.03K","1.65%"
"09/28/2022","3.3580","3.2500","3.3875","3.2500","0.10K","2.25%"
"09/27/2022","3.2840","3.3220","3.3220","3.2835","0.04K","-0.29%"
"09/26/2022","3.2935","3.3310","3.3310","3.2835","0.05K","-1.47%"
"09/23/2022","3.3425","3.4645","3.4645","3.3300","0.04K","-3.66%"
"09/22/2022","3.4695","3.4255","3.4930","3.4255","0.03K","0.12%"
"09/21/2022","3.4655","3.4650","3.4665","3.4265","0.01K","-1.06%"
"09/20/2022","3.5025","3.5005","3.5035","3.5005","0.06K","-0.26%"
"09/19/2022","3.5115","3.5000","3.5245","3.4980","0.06K","-0.10%"
"09/16/2022","3.5150","3.5160","3.5380","3.5125","0.02K","0.76%"
"09/15/2022","3.4885","3.4900","3.5070","3.4875","0.05K","-0.88%"
"09/14/2022","3.5195","3.5210","3.5240","3.5180","0.03K","-1.00%"
"09/13/2022","3.5550","3.6300","3.6800","3.5305","0.12K","-1.50%"
"09/12/2022","3.6090","3.5765","3.6100","3.5765","0.02K","1.18%"
"09/09/2022","3.5670","3.5550","3.6005","3.5415","0.04K","1.15%"
"09/08/2022","3.5265","3.5105","3.5275","3.4920","0.01K","2.81%"
"09/07/2022","3.4300","3.4170","3.4365","3.4170","0.00K","-0.91%"
"09/06/2022","3.4615","3.4640","3.4640","3.4585","0.03K","0.23%"
"09/05/2022","3.4535","3.3887","3.4660","3.3857","","1.91%"
"09/04/2022","3.3887","3.3950","3.4000","3.3613","","-0.65%"
"09/02/2022","3.4110","3.4010","3.4140","3.4000","0.04K","0.15%"
"09/01/2022","3.4060","3.4600","3.4600","3.4060","0.05K","-3.17%"
"08/31/2022","3.5175","3.4900","3.5185","3.4900","0.05K","-1.03%"
"08/30/2022","3.5540","3.5575","3.5575","3.5550","0.04K","-1.56%"
"08/29/2022","3.6105","3.7000","3.7010","3.5630","49.62K","-2.34%"
"08/26/2022","3.6970","3.6995","3.7835","3.6810","51.71K","-0.03%"
"08/25/2022","3.6980","3.6420","3.7080","3.6365","34.06K","1.37%"
"08/24/2022","3.6480","3.6825","3.6945","3.6250","35.57K","-1.18%"
"08/23/2022","3.6915","3.6530","3.7245","3.6270","45.79K","1.04%"
"08/22/2022","3.6535","3.6730","3.6945","3.6080","32.79K","-0.48%"
"08/19/2022","3.6710","3.6450","3.6835","3.6125","28.41K","0.96%"
"08/18/2022","3.6360","3.5965","3.6705","3.5510","28.38K","1.28%"
"08/17/2022","3.5900","3.6285","3.6550","3.5730","19.20K","-1.12%"
"08/16/2022","3.6305","3.6090","3.6505","3.5920","21.57K","0.11%"
"08/15/2022","3.6265","3.6865","3.6900","3.5580","22.56K","-1.43%"
"08/12/2022","3.6790","3.7050","3.7230","3.6545","18.31K","-1.01%"
"08/11/2022","3.7165","3.6475","3.7185","3.6450","27.85K","1.53%"
"08/10/2022","3.6605","3.5990","3.6685","3.5645","25.16K","1.72%"
"08/09/2022","3.5985","3.5980","3.6410","3.5735","19.39K","0.00%"
"08/08/2022","3.5985","3.5595","3.6330","3.5450","24.32K","0.94%"
"08/05/2022","3.5650","3.4850","3.5985","3.4850","22.94K","2.05%"
"08/04/2022","3.4935","3.4870","3.5315","3.4280","15.24K","0.49%"
"08/03/2022","3.4765","3.4820","3.5360","3.4570","14.06K","-1.42%"
"08/02/2022","3.5265","3.5415","3.5640","3.4575","13.66K","-0.69%"
"08/01/2022","3.5510","3.5865","3.6000","3.5225","15.38K","-0.82%"
"07/29/2022","3.5805","3.5060","3.6000","3.4755","16.57K","2.67%"
"07/28/2022","3.4875","3.4830","3.5350","3.4645","10.84K","1.40%"
"07/27/2022","3.4395","3.4435","3.4845","3.4405","0.03K","1.30%"
"07/26/2022","3.3955","3.4255","3.4255","3.3965","0.03K","0.89%"
"07/25/2022","3.3655","3.3725","3.3740","3.3665","0.03K","0.27%"
"07/22/2022","3.3565","3.3740","3.4000","3.3550","0.02K","1.54%"
"07/21/2022","3.3055","3.2890","3.3065","3.2785","0.05K","-0.83%"
"07/20/2022","3.3330","3.3395","3.3765","3.3200","0.06K","1.08%"
"07/19/2022","3.2975","3.3195","3.3330","3.2975","0.10K","-1.67%"
"07/18/2022","3.3535","3.3560","3.3560","3.3530","0.03K","3.57%"
"07/15/2022","3.2380","3.1425","3.2385","3.1400","0.02K","0.76%"
"07/14/2022","3.2135","3.2065","3.2250","3.1830","0.04K","-3.34%"
"07/13/2022","3.3245","3.3000","3.3315","3.2420","0.03K","1.06%"
"07/12/2022","3.2895","3.3485","3.3485","3.2675","0.03K","-4.18%"
"07/11/2022","3.4330","3.4835","3.4885","3.4010","0.09K","-2.68%"
"07/08/2022","3.5275","3.5570","3.5570","3.5035","0.08K","-1.38%"
"07/07/2022","3.5770","3.5000","3.5795","3.4985","0.05K","4.73%"
"07/06/2022","3.4155","3.4025","3.4165","3.3135","0.10K","-0.29%"
"07/05/2022","3.4255","3.5700","3.5700","3.4255","0.12K","-4.42%"
"07/04/2022","3.5840","3.6117","3.6172","3.5457","","-0.76%"
"07/03/2022","3.6115","3.6120","3.6235","3.6080","","-0.08%"
"07/01/2022","3.6145","3.6900","3.7085","3.5765","0.10K","-2.85%"
"06/30/2022","3.7205","3.7365","3.7365","3.6965","0.09K","-1.87%"
"06/29/2022","3.7915","3.7540","3.8165","3.7540","0.04K","0.18%"
"06/28/2022","3.7845","3.8160","3.8370","3.7615","0.05K","0.37%"
"06/27/2022","3.7705","3.8100","3.8100","3.7640","0.07K","0.53%"
"06/24/2022","3.7505","3.7665","3.7840","3.6505","0.06K","-0.05%"
"06/23/2022","3.7525","3.9315","3.9370","3.7475","0.10K","-5.11%"
"06/22/2022","3.9545","4.0370","4.0370","3.9100","0.13K","-2.41%"
"06/21/2022","4.0520","4.0420","4.0940","3.9900","0.53K","1.02%"
"06/20/2022","4.0110","4.0385","4.0385","3.9460","","-0.66%"
"06/19/2022","4.0375","4.0228","4.0400","4.0180","","0.07%"
"06/17/2022","4.0345","4.0700","4.0760","4.0310","0.09K","-2.36%"
"06/16/2022","4.1320","4.2400","4.2400","4.0825","0.08K","-1.33%"
"06/15/2022","4.1875","4.1905","4.1930","4.1785","0.01K","0.16%"
"06/14/2022","4.1810","4.2645","4.2645","4.1800","0.03K","-1.21%"
"06/13/2022","4.2320","4.2005","4.2350","4.2005","0.03K","-1.93%"
