Date,Open,High,Low,Close,Volume
2018-01-02,4.999,4.999,4.997,4.997,14000
2018-01-03,4.999,4.999,4.998,4.998,49295
2018-01-04,4.992,4.994,4.992,4.994,10220
2018-01-05,4.9945,4.9945,4.9945,4.9945,0
2018-01-08,4.994,4.996,4.993,4.9945,29347
2018-01-09,4.997,4.997,4.995,4.995,36602
2018-01-10,4.997,4.997,4.991,4.994,36605
2018-01-11,4.993,4.995,4.993,4.994,110851
2018-01-12,4.996,4.996,4.99,4.992,6500
2018-01-15,4.9925,4.9925,4.9925,4.9925,0
2018-01-16,4.996,4.996,4.991,4.992,22809
2018-01-17,4.989,4.992,4.989,4.9905,102021
2018-01-18,4.99,4.99,4.99,4.99,3450
2018-01-19,4.99,4.99,4.988,4.99,36500
2018-01-22,4.989,4.99,4.989,4.989,12835
2018-01-23,4.9895,4.9895,4.9895,4.9895,0
2018-01-24,4.99,4.991,4.987,4.989,64887
2018-01-25,4.989,4.989,4.9875,4.9875,1500
2018-01-26,4.989,4.989,4.985,4.9855,422557
2018-01-29,4.984,4.9845,4.984,4.9845,125000
2018-01-30,4.987,4.989,4.9855,4.9855,113080
2018-01-31,4.989,4.989,4.984,4.984,8000
2018-02-01,4.983,4.985,4.982,4.982,74452
2018-02-02,4.985,4.985,4.98,4.983,45400
2018-02-05,4.984,4.986,4.984,4.9855,157960
2018-02-06,4.993,4.993,4.9915,4.9915,142000
2018-02-07,4.989,4.989,4.989,4.989,25585
2018-02-08,4.987,4.987,4.985,4.986,29908
2018-02-09,4.9885,4.989,4.987,4.989,194373
2018-02-12,4.987,4.989,4.987,4.989,632877
2018-02-13,4.99,4.99,4.9875,4.9875,249113
2018-02-14,4.99,4.99,4.982,4.982,501480
2018-02-15,4.979,4.981,4.979,4.9805,47530
2018-02-16,4.981,4.983,4.981,4.982,170200
2018-02-19,4.981,4.983,4.981,4.9815,49325
2018-02-20,4.978,4.981,4.978,4.979,108401
2018-02-21,4.979,4.979,4.979,4.979,0
2018-02-22,4.979,4.98,4.979,4.98,1010
2018-02-23,4.983,4.983,4.983,4.983,0
2018-02-26,4.985,4.986,4.985,4.985,83800
2018-02-27,4.979,4.9805,4.979,4.9805,30000
2018-02-28,4.981,4.981,4.981,4.981,9841
2018-03-01,4.982,4.984,4.982,4.983,14713
2018-03-02,4.984,4.984,4.9835,4.9835,8010
2018-03-05,4.987,4.987,4.984,4.984,2006
2018-03-06,4.985,4.9855,4.983,4.9855,30067
2018-03-07,4.986,4.986,4.9835,4.9835,15115
2018-03-08,4.9845,4.9845,4.9845,4.9845,0
2018-03-09,4.9825,4.9825,4.9825,4.9825,0
2018-03-12,4.985,4.985,4.985,4.985,81000
2018-03-13,4.987,4.988,4.986,4.986,74986
2018-03-14,4.988,4.988,4.984,4.9875,133673
2018-03-15,4.984,4.984,4.984,4.984,0
2018-03-16,4.984,4.984,4.984,4.984,0
2018-03-19,4.982,4.985,4.982,4.985,67500
2018-03-20,4.9815,4.9815,4.9815,4.9815,0
2018-03-21,4.983,4.983,4.979,4.98,60961
2018-03-22,4.988,4.988,4.9865,4.9865,108950
2018-03-23,4.989,4.989,4.9885,4.9885,68625
2018-03-26,4.988,4.988,4.988,4.988,224814
2018-03-27,4.989,4.989,4.989,4.989,348000
2018-03-28,4.992,4.993,4.991,4.992,1578449
2018-03-29,4.989,4.992,4.989,4.9905,73368
2018-04-03,4.991,4.991,4.9905,4.9905,154317
2018-04-04,4.991,4.991,4.989,4.989,107347
2018-04-05,4.988,4.988,4.988,4.988,0
2018-04-06,4.989,4.993,4.989,4.9925,145600
2018-04-09,4.992,4.992,4.991,4.991,731200
