Date,Open,High,Low,Close
2018-01-02,932.87,945.88,930.65,944.81
2018-01-03,945,961.11,939.85,957.3
2018-01-04,957.4,966.31,945.45,963.61
2018-01-05,963.04,970.88,959.25,970.18
2018-01-08,967.88,974.15,966.88,972.8
2018-01-09,973.21,973.21,960.12,965.84
2018-01-10,966.13,975,958.4,971.53
2018-01-11,970.97,986.3,970.97,984.75
2018-01-12,985.75,999.31,983.31,997.29
2018-01-15,994.45,1001.96,987.61,998.64
2018-01-16,996.24,1001.1,986.1,999.03
2018-01-17,999.04,1008.11,997.82,1000.11
2018-01-18,999.8,1007.64,996.67,1001.24
2018-01-19,1001.65,1016.04,1000.15,1013.7
2018-01-22,1013.97,1018.67,994.07,996.8
2018-01-23,997.66,1007.9,990.05,1007.12
2018-01-24,1007.84,1020.71,1004.6,1016.1
2018-01-25,1017,1028.05,1009.75,1014.23
2018-01-26,1016.38,1021.6,1011.55,1013.12
2018-01-29,1011.22,1012.62,1001.76,1005.84
2018-01-30,1006.85,1007.67,991.09,997.2
2018-01-31,996.45,1006.43,995.7,1002.4
2018-02-01,1002.1,1008.7,992.4,1007.45
2018-02-02,1007.53,1007.53,987.08,989.47
2018-02-05,991.22,995.9,987.1,990.62
2018-02-06,990.2,998.87,984.15,990.09
2018-02-07,990.2,994,977.41,980.21
2018-02-08,980.6,982.67,970.62,972.81
2018-02-09,976.55,977.68,957.8,964.11
2018-02-12,965.42,972.88,960.55,971.18
2018-02-13,970.82,978.1,970.78,974.04
2018-02-14,974.54,999.2,969.91,996.9
2018-02-15,996.5,1006.8,994.93,1002.05
2018-02-16,1001.35,1012.98,1000.9,1006.05
2018-02-19,1006.6,1014.19,1004.85,1006.65
2018-02-20,1007.53,1009.28,999.65,1000.39
2018-02-21,999.76,1001.91,989.26,989.46
2018-02-22,991.22,999.05,985.65,997.47
2018-02-23,997.26,999.69,990.21,995.82
2018-02-26,995.3,1007.78,994.6,1000.22
2018-02-27,999.52,1002.92,981.17,982.77
2018-02-28,982.83,987.38,977.93,983.64
2018-03-01,985.01,985.01,955.11,966.63
2018-03-02,966.74,968.98,960.43,966.3
2018-03-05,966.15,972.5,956.63,961.6
2018-03-06,961.48,973.49,959.91,969.32
2018-03-07,970.33,972,950.85,952.76
2018-03-08,952.78,955.26,946.65,953.17
2018-03-09,954.9,964.82,949.04,964.04
2018-03-12,964.16,967.34,957.36,963.57
2018-03-13,963.9,970.89,961.3,965.85
2018-03-14,965.73,973.77,960.45,962.13
2018-03-15,961.29,964.71,953.09,954.96
2018-03-16,954.16,958.66,945.94,950.23
2018-03-19,949.94,955.66,942.02,953.55
2018-03-20,953.35,956.07,942.38,944.03
2018-03-21,943.61,959.9,943.3,959.38
2018-03-22,956.93,962.78,946,949.2
2018-03-23,950.2,959.79,946.86,948.45
2018-03-26,948.86,956.41,947.75,952.93
2018-03-27,953.08,961.1,939.76,943.59
2018-03-28,944.38,947.46,934.7,937.56
2018-03-29,936.73,941.67,927.18,931.12
2018-04-02,932.29,939.24,931.01,933.96
2018-04-03,936.08,936.25,918.06,925.35
2018-04-04,925.8,926.38,913.44,917.54
2018-04-05,918.74,918.83,907.79,912.28
2018-04-06,912.6,916.65,907.56,915.96
2018-04-09,917.35,936.46,916.99,932.15
2018-04-10,933.69,936.88,926.05,930.12
2018-04-11,929.74,942.39,928.76,931.54
2018-04-12,932.16,932.87,925.21,928.01
2018-04-13,927.19,933.83,927.19,930.65
2018-04-16,931.33,934.53,926.68,929.2
2018-04-17,929.28,937.06,922.3,937.06
2018-04-18,936.83,947.9,935.83,941.53
2018-04-19,941.28,952.68,934.76,936.77
2018-04-20,936.53,937.16,926.89,927.2
2018-04-23,926.96,928.2,917.33,921.4
2018-04-24,920.7,933.65,916.6,931.75
2018-04-25,931.93,932.25,909.67,911.09
2018-04-26,911.14,916.84,906.66,908.15
2018-04-27,909.08,916.66,905.55,916.5
2018-04-30,914.9,916.25,903.53,905
2018-05-01,905.09,906.33,893.19,895.03
2018-05-02,895.15,900.83,893.56,895.49
2018-05-03,895,905.53,895,902.67
2018-05-04,904.68,909.73,898.7,909.06
2018-05-07,911.74,919.3,910.53,911.52
2018-05-08,912.46,914.15,907.38,913.63
2018-05-09,913.45,917.83,908.71,914.69
2018-05-10,915.02,927.45,913.68,925.68
2018-05-11,926.81,928.99,921.61,923.34
2018-05-14,924.11,927.49,910.56,910.93
2018-05-15,910.27,913.54,896.57,898.31
2018-05-16,897.05,900.86,888.49,891.69
2018-05-17,891.7,894.69,884.89,891.27
2018-05-18,891.95,892.33,882.3,886.49
2018-05-21,888.02,902,878.35,901.16
2018-05-22,901.5,910.64,896.25,907.28
2018-05-23,906.97,909.29,899.03,903.56
2018-05-24,902.62,914.21,902.62,910.65
2018-05-25,911.5,913.25,899.68,899.84
2018-05-28,900.88,907.75,900.11,904.43
2018-05-29,904.92,908.91,902.54,906
2018-05-30,906.28,910.32,903.34,909.3
2018-05-31,909.11,914.58,906.65,906.95
2018-06-01,906.86,912.97,902.8,903.95
2018-06-04,904.25,909.7,900.05,901.72
2018-06-05,902.5,904.06,892.95,901.87
2018-06-06,903.31,908.44,900.73,905.25
2018-06-07,906.22,909.04,898.27,899.48
2018-06-08,901.01,907.14,896.65,906.47
2018-06-11,907.37,911.29,902.47,904.55
2018-06-12,904.5,909.27,898.64,899.27
2018-06-13,899.28,904.2,893.21,903.75
2018-06-14,903.75,912.49,898.84,905.46
2018-06-15,904.96,906.97,885.96,889.3
2018-06-18,888,891.06,881.73,883.81
2018-06-19,883.98,885.91,862.93,868.12
2018-06-20,869.41,875.54,860.99,870.57
2018-06-21,870.85,871.57,862.2,863.75
2018-06-22,863.63,875.05,857.96,874.64
2018-06-25,878.65,879.9,867.03,867.74
2018-06-26,866.97,870.81,859.33,868.28
2018-06-27,867.09,868.61,853.62,858.11
2018-06-28,858.04,858.8,846.2,849.41
2018-06-29,849.5,854.5,843.48,852.59
2018-07-02,853.33,853.84,811.2,818.01
2018-07-03,818.17,845.43,800.12,841.05
2018-07-04,843.69,843.94,833.95,841.94
2018-07-05,842.3,846.8,837.71,841.38
2018-07-06,841.95,845.44,836.44,844.23
2018-07-09,844.267,859.018,843.768,853.781
2018-07-10,848.824,853.002,834.523,846.697
2018-07-11,842.25,844.5,827.75,828.36
2018-07-12,828.15,845.65,826.45,842.03
2018-07-13,843.17,844.22,824.5,829.73
2018-07-16,829.14,833.35,818.42,824.13
2018-07-17,823.85,829.73,816.49,817.9
2018-07-18,817.58,819.2,805.67,818.69
2018-07-19,819,820.13,794.28,807.19
2018-07-20,807,831.55,803.17,828.35
2018-07-23,827.99,835.53,824.74,831.95
2018-07-24,833.32,845.56,828.6,833.2
2018-07-25,833.12,844.98,832.51,844.53
2018-07-26,844.35,845.25,823.84,824.73
2018-07-27,828.88,832.64,821.85,831.47
2018-07-30,831.12,831.97,822.21,828.6
2018-07-31,829.25,842.38,824.89,839.18
2018-08-01,838.7,839.07,815.07,817.42
2018-08-02,817.67,834.6,813.25,822.63
2018-08-03,823.67,841.52,821.37,831.98
2018-08-06,831,836.18,821.28,823.02
2018-08-07,824.04,837.93,822.21,829.3
2018-08-08,829.73,832.81,824.21,831.71
2018-08-09,831.68,840.03,826.36,832.74
2018-08-10,833.09,835.6,827.5,828.66
2018-08-13,828.82,830.45,798.17,803.69
2018-08-14,803.3,807.26,798.05,801.57
2018-08-15,801.55,802.28,757.52,768.94
2018-08-16,767.4,794.4,756.71,779.77
2018-08-17,779.2,789.67,773.36,789.35
2018-08-20,787.75,797.72,786.57,795.96
2018-08-21,796.91,803.43,788.01,795.9
2018-08-22,795.83,801.35,789.78,794.28
2018-08-23,793.74,795.51,776.3,777.58
2018-08-24,777.36,794.75,775.01,790.01
2018-08-27,791.64,805.72,787.84,803.23
2018-08-28,803.98,810.12,788.09,789.48
2018-08-29,790.79,798.72,787.56,797.4
2018-08-30,797.5,798.95,788.56,789.99
2018-08-31,790.65,801.4,785.33,787
2018-09-03,787.43,790.35,783.49,789.08
2018-09-04,788.79,791.41,767.14,778.63
2018-09-05,778.18,786.22,771.12,784.58
2018-09-06,784.46,795.56,781.67,791.98
2018-09-07,791.09,794.68,776.17,781.33
2018-09-10,782.27,799.69,777.21,786.6
2018-09-11,786.93,793.86,782.17,791.93
2018-09-12,791.8,801.49,784.54,799.71
2018-09-13,799.4,811.25,799.3,803.38
2018-09-14,802.66,811.94,795.91,796.16
2018-09-17,795.55,807.71,792.57,800.26
2018-09-18,800.55,818.6,794.35,813.89
2018-09-19,813.65,824.86,812.32,823.8
2018-09-20,824.07,835.83,819.65,835.6
2018-09-21,835.41,838.93,823.27,828.06
2018-09-24,828.4,834.1,823.5,827.36
2018-09-25,828.78,833.98,823.08,823.13
2018-09-26,823.92,829.59,821.58,823.29
2018-09-27,823.85,832.58,808.98,810.13
2018-09-28,811.12,823.74,806.85,816.1
2018-10-01,817.1,826,809.38,823.13
2018-10-02,824.5,835.5,817.21,830.7
2018-10-03,832.35,836.07,825.63,825.63
2018-10-04,826.64,833.1,820.74,825.41
2018-10-05,825.36,831.19,819.35,822.71
2018-10-08,822.52,823.63,810.14,819.54
2018-10-09,819.73,826.4,811.6,825.39
2018-10-10,824.71,828.17,819.85,822.66
2018-10-11,824,843.96,815.35,841.35
2018-10-12,840.19,842.89,835.86,838.9
2018-10-15,838.2,850.55,838.2,842.44
2018-10-16,842.35,846.92,840.12,841.16
2018-10-17,841.69,842.55,832.89,832.89
2018-10-18,832.6,834.56,824.49,827.7
2018-10-19,828.35,836.58,827.42,830.84
2018-10-22,830.94,838.2,818.67,822.59
2018-10-23,821.76,835.05,818.14,832.33
2018-10-24,832.4,835.15,825.24,829.89
2018-10-25,831,833.4,823.79,827.36
2018-10-26,826.36,835.34,823.2,833.52
2018-10-29,833.54,842.47,831.04,832.65
2018-10-30,833.42,839.18,828,836
2018-10-31,835.21,840.22,832.61,839.13
2018-11-01,838.63,860.33,838.46,858.4
2018-11-02,861.99,870.93,861.59,868.65
2018-11-05,869.32,873.39,862.61,864.57
2018-11-06,865.35,875.88,863.73,870.28
2018-11-07,870.9,877.86,869.12,872.91
2018-11-08,873.24,874.45,862.12,863.87
2018-11-09,864.92,864.92,852.74,854.09
2018-11-12,853.68,857.55,840.08,840.56
2018-11-13,840.5,849.35,836.05,839.06
2018-11-14,839.81,842.37,826.92,834.8
