Date,Gold_close,Silver_close,Index
2006-01-01,570.1,9.84,100.0
2006-02-01,561.3,9.73,100.2388
2006-03-01,580.9,11.45,100.5281
2006-04-01,649.95,13.56,100.0305
2006-05-01,644.0,12.5,97.8471
2006-06-01,614.1,11.0,99.1785
2006-07-01,634.4,11.32,99.357
2006-08-01,625.1,12.82,98.8154
2006-09-01,598.6,11.42,98.5506
2006-10-01,605.4,12.22,98.3381
2006-11-01,646.25,13.89,97.3499
2006-12-01,635.7,12.87,96.768
2007-01-01,652.1,13.47,97.8007
2007-02-01,669.3,14.08,97.6763
2007-03-01,663.4,13.36,97.4219
2007-04-01,680.6,13.45,96.1138
2007-05-01,660.5,13.4,95.3842
2007-06-01,649.7,12.39,95.1171
2007-07-01,665.95,12.92,93.7141
2007-08-01,672.5,12.04,94.0525
2007-09-01,744.8,13.81,92.8528
2007-10-01,795.3,14.5,90.727
2007-11-01,784.46,13.98,89.66
2007-12-01,833.15,14.78,90.507
2008-01-01,925.7,16.89,89.9728
2008-02-01,970.4,19.69,88.9971
2008-03-01,913.2,17.19,87.2034
2008-04-01,866.18,16.57,86.8168
2008-05-01,886.96,16.85,87.1446
2008-06-01,927.4,17.42,87.7266
2008-07-01,913.2,17.73,87.3267
2008-08-01,830.25,13.57,89.6743
2008-09-01,872.02,12.03,92.0298
2008-10-01,724.93,9.83,97.9899
2008-11-01,817.9,10.32,99.1642
2008-12-01,879.05,11.28,97.5542
2009-01-01,928.08,12.6,98.5169
2009-02-01,938.96,13.04,101.2087
2009-03-01,922.58,13.01,101.5375
2009-04-01,890.85,12.41,98.8925
2009-05-01,975.92,15.59,95.7346
2009-06-01,926.68,13.57,94.8195
2009-07-01,953.9,13.92,94.3835
2009-08-01,951.92,14.9,93.1477
2009-09-01,1007.9,16.62,92.503
2009-10-01,1041.0,16.27,91.2441
2009-11-01,1178.5,18.44,90.774
2009-12-01,1096.6,16.84,91.1152
2010-01-01,1080.05,16.2,90.9883
2010-02-01,1116.85,16.46,92.1843
2010-03-01,1112.68,17.5,91.2905
2010-04-01,1178.05,18.65,90.6398
2010-05-01,1216.4,18.57,93.2644
2010-06-01,1241.15,18.61,93.6368
2010-07-01,1180.3,17.98,92.021
2010-08-01,1246.7,19.36,91.2134
2010-09-01,1308.45,21.73,90.2365
2010-10-01,1359.05,24.73,87.6787
2010-11-01,1386.8,28.07,87.7985
2010-12-01,1420.55,30.86,88.4984
2011-01-01,1333.0,28.05,87.4148
2011-02-01,1410.93,33.95,86.7876
2011-03-01,1432.0,37.66,86.0161
2011-04-01,1563.45,47.91,84.562
2011-05-01,1535.57,38.49,84.6535
2011-06-01,1500.6,34.71,84.5015
2011-07-01,1624.85,39.89,83.9019
2011-08-01,1825.34,41.52,84.5638
2011-09-01,1623.83,29.93,87.2707
2011-10-01,1709.82,34.14,87.9271
2011-11-01,1749.34,32.825,88.5428
2011-12-01,1564.81,27.835,89.3451
2012-01-01,1737.23,33.145,88.73
2012-02-01,1695.47,34.63,87.1708
2012-03-01,1668.28,32.255,87.6522
2012-04-01,1663.7,30.95,87.8752
2012-05-01,1558.7,27.65,89.2743
2012-06-01,1596.95,27.47,90.5067
2012-07-01,1614.08,27.97,89.946
2012-08-01,1691.61,31.71,89.2935
2012-09-01,1771.25,34.46,87.9821
2012-10-01,1719.71,32.227,87.8463
2012-11-01,1714.4,33.39,88.2544
2012-12-01,1676.4,30.27,87.4824
2013-01-01,1663.38,31.43,87.3979
2013-02-01,1579.16,28.505,88.2757
2013-03-01,1596.65,28.314,88.7641
2013-04-01,1476.23,24.325,88.0177
2013-05-01,1385.08,22.193,88.4158
2013-06-01,1232.63,19.628,89.1339
2013-07-01,1324.83,19.835,89.6883
2013-08-01,1393.98,23.442,89.6002
2013-09-01,1328.82,21.69,89.1502
2013-10-01,1323.25,21.909,88.145
2013-11-01,1253.78,19.97,88.8979
2013-12-01,1204.12,19.437,89.0744
2014-01-01,1244.75,19.167,89.9798
2014-02-01,1323.58,21.137,90.0789
2014-03-01,1283.9,19.761,89.9204
2014-04-01,1291.26,19.188,89.3924
2014-05-01,1250.55,18.801,89.0738
2014-06-01,1327.06,21.017,89.1777
2014-07-01,1282.59,20.381,88.9323
2014-08-01,1287.12,19.47,89.7474
2014-09-01,1208.09,16.962,91.0644
2014-10-01,1171.85,16.154,92.1793
2014-11-01,1168.85,15.53,93.5243
2014-12-01,1183.0,15.67,95.3946
2015-01-01,1283.8,17.23,97.1373
2015-02-01,1211.57,16.55,98.5078
2015-03-01,1183.38,16.655,100.4746
