Date,Gold_close,Silver_close,Nasdaq_close,Spx_close
1990-01-02,402.1,5.25,459.3,359.69
1990-01-03,396.4,5.22,460.9,358.76
1990-01-04,400.8,5.33,459.4,355.67
1990-01-05,408.5,5.38,458.2,352.2
1990-01-08,405.0,5.31,458.7,353.79
1990-01-09,406.2,5.3,456.8,349.62
1990-01-10,414.2,5.37,450.7,347.31
1990-01-11,415.6,5.37,448.9,348.53
1990-01-12,414.7,5.39,439.7,339.93
1990-01-15,415.1,5.3,436.6,337.0
1990-01-16,412.2,5.29,440.2,340.75
1990-01-17,413.7,5.31,438.7,337.4
1990-01-18,411.2,5.24,437.5,338.19
1990-01-19,410.9,5.25,440.9,339.15
1990-01-22,408.0,5.32,431.9,330.38
1990-01-23,413.7,5.34,430.4,331.61
1990-01-24,417.7,5.26,425.7,330.26
1990-01-25,416.3,5.25,425.2,326.08
1990-01-26,420.3,5.26,421.3,325.8
1990-01-29,425.1,5.25,418.1,325.2
1990-01-30,423.9,5.25,410.7,322.98
1990-01-31,417.8,5.23,415.8,329.08
1990-02-01,423.3,5.33,417.8,328.79
1990-02-02,423.4,5.34,422.2,330.92
1990-02-05,427.5,5.36,424.7,331.85
1990-02-06,426.4,5.33,424.0,329.66
1990-02-07,423.1,5.34,426.8,333.75
1990-02-08,423.5,5.34,427.3,332.96
1990-02-09,420.6,5.27,428.8,333.62
1990-02-12,423.6,5.3,426.4,330.08
1990-02-13,422.0,5.33,425.8,331.02
1990-02-14,420.7,5.33,426.6,332.01
1990-02-15,416.2,5.33,429.6,334.89
1990-02-16,420.8,5.34,429.0,332.72
1990-02-20,423.6,5.34,423.8,327.99
1990-02-21,421.6,5.28,421.5,327.67
1990-02-22,419.0,5.27,422.8,325.7
1990-02-23,418.2,5.24,419.5,324.15
1990-02-26,411.8,5.23,421.0,328.67
1990-02-27,411.0,5.16,422.6,330.26
1990-02-28,408.9,5.21,425.8,331.89
1990-03-01,409.0,5.23,427.2,332.74
1990-03-02,405.6,5.2,431.0,335.54
1990-03-05,406.6,5.19,430.2,333.74
1990-03-06,406.1,5.19,432.3,337.93
1990-03-07,402.3,5.19,432.5,336.95
1990-03-08,401.9,5.18,436.5,340.27
1990-03-09,401.6,5.16,436.8,337.93
1990-03-12,401.1,5.1,436.6,338.67
1990-03-13,400.7,5.12,434.6,336.0
1990-03-14,399.5,5.14,436.2,336.87
1990-03-15,399.6,5.13,438.1,338.07
1990-03-16,400.9,5.14,442.2,341.91
1990-03-19,401.9,5.15,442.9,343.53
1990-03-20,393.3,5.09,440.1,341.57
1990-03-21,392.5,5.1,439.3,339.74
1990-03-22,394.7,5.13,434.5,335.69
1990-03-23,389.4,5.09,437.3,337.22
1990-03-26,366.2,5.0,438.8,337.63
1990-03-27,369.1,4.99,439.5,341.5
1990-03-28,374.2,4.96,436.7,342.0
1990-03-29,376.0,4.98,435.4,340.79
1990-03-30,375.0,4.98,435.5,339.94
1990-04-02,374.5,4.98,433.2,338.7
1990-04-03,380.1,5.04,437.7,343.64
1990-04-04,381.8,5.19,435.4,341.09
1990-04-05,379.3,5.17,433.42,340.73
1990-04-06,385.2,5.19,430.9,340.08
1990-04-09,380.4,5.13,430.2,341.37
1990-04-10,379.3,5.11,431.9,342.07
1990-04-11,378.4,5.15,433.5,341.92
1990-04-12,379.7,5.11,436.3,344.34
1990-04-16,378.9,5.08,436.7,344.74
1990-04-17,378.8,5.11,435.4,344.68
1990-04-18,379.7,5.08,431.5,340.72
1990-04-19,380.7,5.08,429.0,338.09
