Date,Open,High,Low,Close
1990-01-02,5.28,5.35,5.22,5.25
1990-01-03,5.26,5.26,5.18,5.22
1990-01-04,5.22,5.35,5.22,5.33
1990-01-05,5.34,5.4,5.28,5.38
1990-01-08,5.39,5.39,5.31,5.31
1990-01-09,5.32,5.33,5.26,5.3
1990-01-10,5.3,5.39,5.3,5.37
1990-01-11,5.37,5.41,5.34,5.37
1990-01-12,5.37,5.45,5.37,5.39
1990-01-15,5.39,5.39,5.28,5.3
1990-01-16,5.3,5.34,5.25,5.29
1990-01-17,5.29,5.31,5.25,5.31
1990-01-18,5.31,5.33,5.24,5.24
1990-01-19,5.25,5.28,5.22,5.25
1990-01-22,5.26,5.33,5.2,5.32
1990-01-23,5.32,5.36,5.29,5.34
1990-01-24,5.34,5.41,5.25,5.26
1990-01-25,5.26,5.29,5.25,5.25
1990-01-26,5.26,5.34,5.23,5.26
1990-01-29,5.26,5.28,5.22,5.25
1990-01-30,5.26,5.28,5.23,5.25
1990-01-31,5.25,5.25,5.2,5.23
1990-02-01,5.23,5.33,5.23,5.33
1990-02-02,5.33,5.36,5.3,5.34
1990-02-05,5.35,5.41,5.34,5.36
1990-02-06,5.36,5.36,5.31,5.33
1990-02-07,5.34,5.44,5.32,5.34
1990-02-08,5.34,5.37,5.32,5.34
1990-02-09,5.35,5.35,5.26,5.27
1990-02-12,5.28,5.34,5.28,5.3
1990-02-13,5.31,5.39,5.31,5.33
1990-02-14,5.33,5.35,5.29,5.33
1990-02-15,5.34,5.38,5.32,5.33
1990-02-16,5.34,5.38,5.32,5.34
1990-02-20,5.34,5.37,5.32,5.34
1990-02-21,5.34,5.37,5.28,5.28
1990-02-22,5.29,5.3,5.26,5.27
1990-02-23,5.28,5.28,5.24,5.24
1990-02-26,5.25,5.32,5.22,5.23
1990-02-27,5.23,5.25,5.15,5.16
1990-02-28,5.16,5.21,5.15,5.21
1990-03-01,5.21,5.24,5.19,5.23
1990-03-02,5.24,5.24,5.18,5.2
1990-03-05,5.2,5.21,5.17,5.19
1990-03-06,5.2,5.22,5.18,5.19
1990-03-07,5.19,5.21,5.17,5.19
1990-03-08,5.2,5.22,5.17,5.18
1990-03-09,5.18,5.18,5.14,5.16
1990-03-12,5.16,5.19,5.08,5.1
1990-03-13,5.11,5.13,5.08,5.12
1990-03-14,5.12,5.15,5.12,5.14
1990-03-15,5.14,5.17,5.13,5.13
1990-03-16,5.14,5.18,5.14,5.14
1990-03-19,5.15,5.18,5.14,5.15
1990-03-20,5.16,5.17,5.08,5.09
1990-03-21,5.1,5.12,5.07,5.1
1990-03-22,5.11,5.13,5.09,5.13
1990-03-23,5.13,5.15,5.06,5.09
1990-03-26,5.09,5.09,4.9,5
1990-03-27,5,5,4.96,4.99
1990-03-28,5,5.03,4.94,4.96
1990-03-29,4.96,5.01,4.96,4.98
1990-03-30,4.99,5,4.95,4.98
1990-04-02,4.99,4.99,4.96,4.98
1990-04-03,4.98,5.04,4.98,5.04
1990-04-04,5.04,5.21,5.03,5.19
1990-04-05,5.2,5.25,5.14,5.17
1990-04-06,5.17,5.21,5.12,5.19
1990-04-09,5.2,5.2,5.11,5.13
1990-04-10,5.14,5.15,5.08,5.11
1990-04-11,5.12,5.16,5.09,5.15
1990-04-12,5.16,5.16,5.1,5.11
1990-04-16,5.11,5.11,5.03,5.08
1990-04-17,5.08,5.13,5.04,5.11
1990-04-18,5.11,5.12,5.06,5.08
1990-04-19,5.08,5.11,5.07,5.08
1990-04-20,5.08,5.11,5.05,5.11
1990-04-23,5.12,5.12,5.06,5.1
1990-04-24,5.11,5.2,5.07,5.08
1990-04-25,5.09,5.09,4.97,5
1990-04-26,5.01,5.04,4.99,5
1990-04-27,5,5.02,4.98,5
1990-04-30,5,5.02,4.97,5.01
1990-05-01,5.02,5.13,5.02,5.09
1990-05-02,5.1,5.1,5.05,5.07
1990-05-03,5.08,5.11,5.07,5.07
1990-05-04,5.08,5.13,5.07,5.07
1990-05-07,5.08,5.11,5.08,5.09
1990-05-08,5.09,5.1,5.04,5.06
1990-05-09,5.07,5.1,5.01,5.09
1990-05-10,5.1,5.18,5.08,5.15
1990-05-11,5.16,5.16,5.08,5.11
1990-05-14,5.11,5.16,5.09,5.12
1990-05-15,5.13,5.13,5.05,5.07
1990-05-16,5.07,5.08,5.05,5.07
1990-05-17,5.07,5.1,5.07,5.08
1990-05-18,5.08,5.18,5.08,5.17
1990-05-21,5.18,5.21,5.15,5.18
1990-05-22,5.19,5.34,5.17,5.33
1990-05-23,5.34,5.34,5.15,5.28
1990-05-24,5.28,5.31,5.25,5.28
1990-05-25,5.28,5.29,5.25,5.26
1990-05-29,5.26,5.28,5.16,5.18
1990-05-30,5.18,5.21,5.08,5.08
1990-05-31,5.09,5.12,5.08,5.11
1990-06-01,5.11,5.14,5.01,5.08
1990-06-04,5.08,5.08,5.04,5.08
1990-06-05,5.09,5.12,5.07,5.1
1990-06-06,5.1,5.12,5.05,5.06
1990-06-07,5.06,5.06,5,5.04
1990-06-08,5.04,5.05,5.01,5.03
1990-06-11,5.04,5.05,5,5.04
1990-06-12,5.04,5.08,5.03,5.04
1990-06-13,5.04,5.04,4.93,4.93
1990-06-14,4.93,4.93,4.78,4.79
1990-06-15,4.79,4.84,4.76,4.83
1990-06-18,4.83,4.86,4.82,4.84
1990-06-19,4.84,4.86,4.82,4.83
1990-06-20,4.83,4.86,4.76,4.84
1990-06-21,4.85,4.87,4.82,4.83
1990-06-22,4.83,4.84,4.79,4.82
1990-06-25,4.83,4.94,4.83,4.9
1990-06-26,4.91,4.92,4.81,4.91
1990-06-27,4.91,4.93,4.87,4.88
1990-06-28,4.88,4.93,4.88,4.89
1990-06-29,4.9,5,4.87,4.96
1990-07-02,4.97,5.07,4.96,5.01
1990-07-03,5.01,5.05,4.98,4.99
1990-07-05,4.99,4.99,4.93,4.94
1990-07-06,4.94,4.96,4.92,4.93
1990-07-09,4.94,4.97,4.86,4.87
1990-07-10,4.87,4.89,4.83,4.88
1990-07-11,4.88,4.9,4.86,4.9
1990-07-12,4.91,4.96,4.87,4.95
1990-07-13,4.95,5.01,4.93,4.96
1990-07-16,4.97,4.97,4.9,4.9
1990-07-17,4.91,4.92,4.81,4.87
1990-07-18,4.88,4.96,4.85,4.93
1990-07-19,4.94,4.95,4.89,4.9
1990-07-20,4.9,4.93,4.88,4.89
1990-07-23,4.9,4.99,4.9,4.93
1990-07-24,4.93,4.95,4.84,4.86
1990-07-25,4.86,4.94,4.86,4.87
1990-07-26,4.87,4.9,4.85,4.89
1990-07-27,4.9,4.9,4.83,4.87
1990-07-30,4.88,4.89,4.83,4.84
1990-07-31,4.84,4.9,4.82,4.82
1990-08-01,4.83,4.89,4.82,4.86
1990-08-02,4.86,4.97,4.86,4.87
1990-08-03,4.87,4.94,4.83,4.87
1990-08-06,4.87,4.93,4.87,4.92
1990-08-07,4.92,4.92,4.85,4.89
1990-08-08,4.9,4.91,4.87,4.87
1990-08-09,4.88,4.89,4.86,4.88
1990-08-10,4.89,5,4.89,4.99
1990-08-14,5,5.35,5,5.21
1990-08-15,5.22,5.22,5.08,5.09
1990-08-16,5.09,5.21,5.08,5.18
1990-08-17,5.19,5.24,5.17,5.2
1990-08-20,5.2,5.31,5.2,5.26
1990-08-21,5.26,5.34,5.18,5.22
1990-08-22,5.22,5.29,5.22,5.26
1990-08-23,5.26,5.34,5.21,5.25
1990-08-24,5.25,5.33,5.23,5.32
1990-08-27,5.32,5.32,4.93,4.96
1990-08-28,4.97,5.01,4.88,4.96
1990-08-29,4.96,4.97,4.9,4.94
1990-08-30,4.95,4.96,4.9,4.92
1990-08-31,4.92,4.93,4.86,4.87
1990-09-04,4.87,4.91,4.79,4.83
1990-09-05,4.83,4.88,4.82,4.84
1990-09-06,4.84,4.89,4.84,4.87
1990-09-07,4.87,4.92,4.82,4.89
1990-09-10,4.9,4.9,4.81,4.85
1990-09-11,4.86,4.9,4.82,4.87
1990-09-12,4.87,4.92,4.87,4.89
1990-09-13,4.9,4.9,4.86,4.86
1990-09-14,4.87,4.89,4.83,4.84
1990-09-17,4.84,4.87,4.83,4.85
1990-09-18,4.86,4.89,4.81,4.88
1990-09-19,4.88,4.91,4.84,4.85
1990-09-20,4.86,4.87,4.84,4.86
1990-09-21,4.86,4.91,4.86,4.87
1990-09-24,4.88,5.01,4.88,5
1990-09-25,5,5,4.91,4.92
1990-09-26,4.92,4.92,4.82,4.87
1990-09-27,4.88,4.88,4.83,4.84
1990-09-28,4.85,4.87,4.83,4.83
1990-10-01,4.84,4.84,4.68,4.71
1990-10-02,4.71,4.76,4.71,4.75
1990-10-03,4.75,4.76,4.72,4.75
1990-10-04,4.76,4.79,4.71,4.73
1990-10-05,4.74,4.76,4.71,4.73
1990-10-08,4.73,4.74,4.68,4.73
1990-10-09,4.73,4.75,4.63,4.65
1990-10-10,4.65,4.67,4.45,4.46
1990-10-11,4.46,4.46,4.26,4.29
1990-10-12,4.29,4.45,4.2,4.36
1990-10-15,4.36,4.36,4.15,4.18
1990-10-16,4.18,4.29,4.17,4.19
1990-10-17,4.19,4.28,4.19,4.24
1990-10-18,4.24,4.26,4.2,4.24
1990-10-19,4.24,4.33,4.24,4.3
1990-10-22,4.3,4.3,4.22,4.23
1990-10-23,4.24,4.29,4.24,4.26
1990-10-24,4.26,4.27,4.22,4.26
1990-10-25,4.26,4.28,4.22,4.24
1990-10-26,4.25,4.25,4.06,4.08
1990-10-29,4.08,4.16,4.05,4.16
1990-10-30,4.16,4.25,4.14,4.25
1990-10-31,4.25,4.28,4.17,4.18
1990-11-01,4.18,4.34,4.17,4.26
1990-11-02,4.26,4.26,4.16,4.18
1990-11-05,4.2,4.24,4.17,4.23
1990-11-06,4.23,4.27,4.19,4.26
1990-11-07,4.26,4.32,4.22,4.29
1990-11-08,4.29,4.32,4.23,4.28
1990-11-09,4.28,4.28,4.22,4.24
1990-11-12,4.24,4.24,4.17,4.21
1990-11-13,4.21,4.23,4.2,4.21
1990-11-14,4.22,4.22,4.16,4.17
1990-11-15,4.18,4.18,4.09,4.12
1990-11-16,4.12,4.16,4.07,4.15
1990-11-19,4.15,4.17,4.12,4.14
1990-11-20,4.14,4.14,4.09,4.11
1990-11-21,4.12,4.15,4.09,4.12
1990-11-23,4.13,4.18,4.11,4.13
1990-11-26,4.14,4.22,4.14,4.15
1990-11-27,4.16,4.16,4.08,4.1
1990-11-28,4.11,4.22,4.11,4.21
1990-11-29,4.21,4.23,4.17,4.18
1990-11-30,4.18,4.22,4.16,4.22
1990-12-03,4.22,4.25,4.2,4.23
1990-12-04,4.23,4.26,4.21,4.24
1990-12-05,4.25,4.26,4.21,4.24
1990-12-06,4.24,4.24,4.18,4.21
1990-12-07,4.21,4.22,4.11,4.13
1990-12-10,4.13,4.17,4.12,4.13
1990-12-11,4.13,4.16,4.11,4.14
1990-12-12,4.15,4.15,4.07,4.1
1990-12-13,4.1,4.1,4.04,4.08
1990-12-14,4.08,4.08,3.98,4
1990-12-17,4.01,4.03,3.99,4.02
1990-12-18,4.03,4.03,4,4.03
1990-12-19,4.04,4.17,4.03,4.16
1990-12-20,4.17,4.4,4.16,4.26
1990-12-21,4.26,4.26,4.03,4.09
1990-12-26,4.1,4.17,4.07,4.16
1990-12-27,4.17,4.17,4.11,4.16
1990-12-28,4.16,4.25,4.16,4.25
1990-12-31,4.25,4.25,4.2,4.25
1991-01-02,4.25,4.25,4.14,4.17
1991-01-03,4.17,4.29,4.12,4.27
1991-01-04,4.27,4.28,4.19,4.21
1991-01-07,4.21,4.34,4.21,4.34
1991-01-08,4.35,4.35,4.09,4.18
1991-01-09,4.18,4.18,4.08,4.17
1991-01-10,4.18,4.22,4.13,4.14
1991-01-11,4.15,4.2,4.15,4.17
1991-01-14,4.18,4.28,4.18,4.26
1991-01-15,4.26,4.27,4.21,4.22
1991-01-16,4.23,4.29,4.17,4.24
1991-01-17,4.24,4.24,4.04,4.04
1991-01-18,4.05,4.07,4,4.01
1991-01-21,4.02,4.05,4.01,4.02
1991-01-22,4.03,4.07,4.01,4.03
1991-01-23,4.04,4.04,3.92,3.94
1991-01-24,3.94,3.94,3.76,3.79
1991-01-25,3.79,3.85,3.79,3.82
1991-01-28,3.82,3.85,3.81,3.84
1991-01-29,3.85,3.87,3.83,3.87
1991-01-30,3.88,3.88,3.82,3.83
1991-01-31,3.83,3.85,3.83,3.85
1991-02-01,3.86,3.9,3.83,3.87
1991-02-04,3.88,3.88,3.85,3.86
1991-02-05,3.86,3.87,3.83,3.86
1991-02-06,3.87,3.87,3.77,3.79
1991-02-07,3.79,3.85,3.73,3.81
1991-02-08,3.82,3.86,3.81,3.83
1991-02-11,3.84,3.84,3.63,3.7
1991-02-12,3.7,3.72,3.65,3.71
1991-02-13,3.72,3.76,3.71,3.75
1991-02-14,3.75,3.92,3.75,3.83
1991-02-15,3.84,3.85,3.77,3.79
1991-02-19,3.79,3.79,3.62,3.69
1991-02-20,3.7,3.71,3.63,3.68
1991-02-21,3.68,3.68,3.6,3.64
1991-02-22,3.64,3.64,3.5,3.51
1991-02-25,3.52,3.6,3.52,3.58
1991-02-26,3.58,3.68,3.58,3.61
1991-02-27,3.62,3.67,3.61,3.62
1991-02-28,3.62,3.79,3.62,3.77
1991-03-01,3.77,3.83,3.73,3.82
1991-03-04,3.83,3.92,3.78,3.9
1991-03-05,3.91,3.92,3.83,3.88
1991-03-06,3.89,4,3.85,3.91
1991-03-07,3.91,4.04,3.9,4.01
1991-03-08,4.02,4.24,4.02,4.21
1991-03-11,4.21,4.23,4.08,4.11
1991-03-12,4.11,4.11,4.01,4.04
1991-03-13,4.05,4.2,4.05,4.14
1991-03-14,4.15,4.15,4.02,4.07
1991-03-15,4.07,4.17,4.03,4.12
1991-03-18,4.13,4.13,3.95,3.98
1991-03-19,3.98,4.1,3.96,4.05
1991-03-20,4.06,4.1,3.92,3.96
1991-03-21,3.97,4.04,3.96,4.02
1991-03-22,4.03,4.05,3.98,3.99
1991-03-25,4,4,3.91,3.95
1991-03-26,3.96,3.96,3.9,3.91
1991-03-27,3.91,3.91,3.81,3.83
1991-03-28,3.84,3.89,3.84,3.87
1991-04-01,3.87,3.97,3.87,3.96
1991-04-02,3.97,4.05,3.94,4.01
1991-04-03,4.01,4.15,4.01,4.08
1991-04-04,4.08,4.12,4.05,4.06
1991-04-05,4.06,4.06,3.92,3.95
1991-04-08,3.95,4,3.95,3.98
1991-04-09,3.98,4.05,3.98,4.03
