DATE,RTWEXBGS
2006-01-01,100.0
2006-02-01,100.2388
2006-03-01,100.5281
2006-04-01,100.0305
2006-05-01,97.8471
2006-06-01,99.1785
2006-07-01,99.357
2006-08-01,98.8154
2006-09-01,98.5506
2006-10-01,98.3381
2006-11-01,97.3499
2006-12-01,96.768
2007-01-01,97.8007
2007-02-01,97.6763
2007-03-01,97.4219
2007-04-01,96.1138
2007-05-01,95.3842
2007-06-01,95.1171
2007-07-01,93.7141
2007-08-01,94.0525
2007-09-01,92.8528
2007-10-01,90.727
2007-11-01,89.66
2007-12-01,90.507
2008-01-01,89.9728
2008-02-01,88.9971
2008-03-01,87.2034
2008-04-01,86.8168
2008-05-01,87.1446
2008-06-01,87.7266
2008-07-01,87.3267
2008-08-01,89.6743
2008-09-01,92.0298
2008-10-01,97.9899
2008-11-01,99.1642
2008-12-01,97.5542
2009-01-01,98.5169
2009-02-01,101.2087
2009-03-01,101.5375
2009-04-01,98.8925
2009-05-01,95.7346
2009-06-01,94.8195
2009-07-01,94.3835
2009-08-01,93.1477
2009-09-01,92.503
2009-10-01,91.2441
2009-11-01,90.774
2009-12-01,91.1152
2010-01-01,90.9883
2010-02-01,92.1843
2010-03-01,91.2905
2010-04-01,90.6398
2010-05-01,93.2644
2010-06-01,93.6368
2010-07-01,92.021
2010-08-01,91.2134
2010-09-01,90.2365
2010-10-01,87.6787
2010-11-01,87.7985
2010-12-01,88.4984
2011-01-01,87.4148
2011-02-01,86.7876
2011-03-01,86.0161
2011-04-01,84.562
2011-05-01,84.6535
2011-06-01,84.5015
2011-07-01,83.9019
2011-08-01,84.5638
2011-09-01,87.2707
2011-10-01,87.9271
2011-11-01,88.5428
2011-12-01,89.3451
2012-01-01,88.73
2012-02-01,87.1708
2012-03-01,87.6522
2012-04-01,87.8752
2012-05-01,89.2743
2012-06-01,90.5067
2012-07-01,89.946
2012-08-01,89.2935
2012-09-01,87.9821
2012-10-01,87.8463
2012-11-01,88.2544
2012-12-01,87.4824
2013-01-01,87.3979
2013-02-01,88.2757
2013-03-01,88.7641
2013-04-01,88.0177
2013-05-01,88.4158
2013-06-01,89.1339
2013-07-01,89.6883
2013-08-01,89.6002
2013-09-01,89.1502
2013-10-01,88.145
2013-11-01,88.8979
2013-12-01,89.0744
2014-01-01,89.9798
2014-02-01,90.0789
2014-03-01,89.9204
2014-04-01,89.3924
2014-05-01,89.0738
2014-06-01,89.1777
2014-07-01,88.9323
2014-08-01,89.7474
2014-09-01,91.0644
2014-10-01,92.1793
2014-11-01,93.5243
2014-12-01,95.3946
2015-01-01,97.1373
2015-02-01,98.5078
2015-03-01,100.4746
2015-04-01,99.5628
2015-05-01,98.7656
2015-06-01,99.5514
2015-07-01,101.367
2015-08-01,103.0026
2015-09-01,103.596
2015-10-01,102.6342
2015-11-01,104.3386
2015-12-01,105.1359
2016-01-01,107.4267
2016-02-01,106.1005
2016-03-01,103.9545
2016-04-01,102.4764
2016-05-01,103.5461
2016-06-01,103.9954
2016-07-01,104.6676
2016-08-01,103.849
2016-09-01,104.7264
2016-10-01,105.8013
2016-11-01,108.2172
2016-12-01,109.9316
2017-01-01,109.7745
2017-02-01,108.2687
2017-03-01,107.6269
2017-04-01,106.625
2017-05-01,105.988
2017-06-01,104.5784
2017-07-01,102.8525
2017-08-01,101.9009
2017-09-01,101.2642
2017-10-01,103.0674
2017-11-01,103.2301
2017-12-01,102.9124
2018-01-01,100.7584
2018-02-01,100.1799
2018-03-01,100.396
2018-04-01,100.5209
2018-05-01,103.4995
2018-06-01,105.0474
2018-07-01,105.0286
2018-08-01,105.6106
2018-09-01,105.8236
2018-10-01,106.5451
2018-11-01,107.7029
2018-12-01,107.7419
2019-01-01,106.0257
2019-02-01,106.1323
2019-03-01,106.5481
2019-04-01,106.6624
2019-05-01,107.427
2019-06-01,106.8046
2019-07-01,106.557
2019-08-01,108.3684
2019-09-01,108.5553
2019-10-01,108.0202
2019-11-01,107.8612
2019-12-01,107.1906
2020-01-01,106.5718
2020-02-01,107.8564
2020-03-01,111.8
2020-04-01,113.4187
2020-05-01,112.7266
2020-06-01,110.0887
2020-07-01,109.4938
2020-08-01,108.1881
2020-09-01,107.7845
2020-10-01,107.2415
2020-11-01,105.9156
2020-12-01,103.9358
2021-01-01,103.1925
2021-02-01,103.9087
2021-03-01,105.3764
2021-04-01,105.211
2021-05-01,104.2302
2021-06-01,105.1439
2021-07-01,106.6624
2021-08-01,106.9633
2021-09-01,107.115
2021-10-01,108.0273
2021-11-01,109.1611
2021-12-01,110.3058
2022-01-01,109.6211
2022-02-01,109.7777
2022-03-01,111.0311
2022-04-01,111.6713
2022-05-01,114.2706
2022-06-01,115.231
2022-07-01,117.2462
2022-08-01,116.6653
2022-09-01,119.5125
2022-10-01,121.0698
2022-11-01,118.5553
2022-12-01,116.0265
2023-01-01,113.9178
