Date,Open,High,Low,Close
1990-12-31,406,430.3,348.2,396.2
1991-12-31,397,406.9,346,355.2
1992-12-31,355.7,363.9,328.9,333.1
1993-12-31,333.5,414,325.8,390.5
1994-12-31,390.55,398.1,368.2,382.6
1995-12-31,382.9,397.8,370.8,386.85
1996-12-31,386.9,418.15,365.75,369.45
1997-12-31,369.45,369.65,281.75,288.8
1998-12-31,288.6,314.95,271.12,288.25
1999-12-31,287.75,339.5,251.95,288.25
2000-12-31,288.12,319.5,263.26,272.25
2001-12-31,273.15,297.75,253.85,278.95
2002-12-31,278.95,352.25,277.05,342.75
2003-12-31,343.45,419.55,316.9,417.25
2004-12-31,418.05,456.5,368.4,437.9
2005-12-31,437.9,540.9,410.3,516.5
2006-12-31,516.4,730,516.4,635.7
2007-12-31,636.2,845.45,601.9,833.15
2008-12-31,833.7,1032.3,681.45,879.05
2009-12-31,886.7,1226.2,802.84,1096.6
2010-12-31,1095.2,1430.6,1043.72,1420.55
2011-12-31,1419,1921.07,1308.26,1564.81
2012-12-31,1569.36,1795.54,1526.63,1676.4
2013-12-31,1670.6,1696.09,1180.16,1204.12
2014-12-31,1205.1,1388.34,1131.78,1183
2015-12-31,1187.09,1306.43,1046.64,1061.46
2016-12-31,1064.65,1375.42,1062.61,1150.91
2017-12-31,1150.53,1357.56,1146.18,1303.33
2018-12-31,1303.38,1366.12,1160.31,1282.56
2019-12-31,1282.6,1557.1,1266.48,1517.305
2020-12-31,1518.17,2075.11,1451.28,1898.705
2021-12-31,1903.49,1959.11,1671.9,1829.5
2022-12-31,1830.05,2069.94,1614.905,1823.48
2023-12-31,1828.86,2144.83,1805.1,2063.235
